name	month_average	overall	Correlation Coefficient
lilyloooo.xml	0	0	
Linaattalah.xml	3	9	
lina.xml	0	0	
lindshemmings.xml	0	0	
line.xml	0	0	
lirarandall.xml	0	0	
lisquart.xml	0	0	
LizetteBeard.xml	4	10	
LizetteNYT.xml	3	6	
LizetteSalas5.xml	2	11	
lksriv.xml	0	0	
lminichan.xml	0	0	
l_omega.xml	0	0	
LoreenFCSpain.xml	4	8	
LOREEN_TALHAOUI.xml	0	0	
LORENZOOswaldo.xml	0	0	
l_sammler03.xml	0	0	
LTonya.xml	0	0	
luckylupitaa.xml	0	0	
LupeTortilla.xml	0	2	
Lupe_.xml	0	0	
LuraConsulting.xml	1	6	
LuraFotball.xml	1	3	
lurahobbs.xml	0	0	
luralandis.xml	0	0	
LynHistorie.xml	1	6	
MacBarbie07.xml	0	0	
MagdaEh.xml	2	9	
magdagomesbeach.xml	2	8	
magda_music.xml	0	0	
MagdaSzubanski.xml	4	9	
magenbanwart.xml	0	0	
MagenFit23.xml	6	12	
MagenMattox.xml	2	8	
malaikamose.xml	0	0	
mao_Sadie.xml	8	16	
MargaretAtwood.xml	8	9	
MargaretBerger.xml	1	8	
margaretcho.xml	0	0	
MargaretSBone.xml	0	0	
MaribethMonroe.xml	7	9	
MaribethRoss.xml	0	6	
mariejoelle.xml	0	0	
MarieLizette.xml	0	0	
MariluAcevedoD.xml	0	0	
mariluk.xml	0	0	
MarkCarline.xml	1	8	
Marlen112Boxing.xml	6	9	
marlenbodden.xml	0	0	
MarlenGarcia777.xml	7	9	
MarroneEmma.xml	79	60	
maxclifford1.xml	0	0	
mb_willoughby.xml	0	0	
mcpssuper.xml	0	0	
Mdais.xml	0	0	
meguiguren.xml	0	0	
MiaGreenHermine.xml	1	3	
mikecaren.xml	3	9	
milfstarr.xml	0	0	
misjoelle.xml	0	0	
MissCelesteStar.xml	5	9	
MissEmmaGlover.xml	7	9	
miss_gidget.xml	4	15	
MitchellBeckie.xml	0	0	
mizuki_sadie.xml	0	0	
mloria1.xml	0	0	
MoseAllison.xml	0	0	
MoseMasoe.xml	1	5	
